Changmo,SQ(y),Daily usage,Sleep duration,Steps,Exercise Duration,요일
2-Mar-22,5,20160,28800,15341,5400,3
3-Mar-22,4,15480,25200,7894,3600,4
4-Mar-22,4,16200,25200,15234,3600,5
5-Mar-22,5,11880,28800,4903,5400,6
6-Mar-22,2,32940,21600,1230,3600,7
7-Mar-22,2,16200,21600,14324,5400,1
8-Mar-22,3,18720,25200,2453,0,2
9-Mar-22,5,12240,28800,9203,3600,3
10-Mar-22,1,19440,25200,12034,0,4
11-Mar-22,1,15480,21600,9403,3600,5
12-Mar-22,5,19800,36000,234,3600,6
13-Mar-22,5,32940,28800,12403,5400,7
14-Mar-22,4,22140,32400,15043,3600,1
15-Mar-22,4,18360,25200,2445,3600,2
16-Mar-22,3,12600,28800,974,0,3
17-Mar-22,5,19800,28800,2403,3600,4
18-Mar-22,4,13680,21600,7643,5400,5
19-Mar-22,4,19080,36000,18392,3600,6
20-Mar-22,5,19800,28800,2345,5400,7
21-Mar-22,5,20160,32400,6355,3600,1
22-Mar-22,4,19800,25200,7658,3600,2
23-Mar-22,1,17280,21600,6365,0,3
24-Mar-22,1,16200,18000,8846,3600,4
25-Mar-22,4,14400,25200,18456,3600,5
26-Mar-22,4,23400,25200,5354,5400,6
27-Mar-22,4,19800,25200,3465,3600,7
28-Mar-22,3,18000,28800,8567,0,1
29-Mar-22,4,16200,32400,354,3600,2
30-Mar-22,3,15120,25200,3798,3600,3
31-Mar-22,4,13680,28800,13245,3600,4
1-Apr-22,2,18720,28800,8765,0,5
2-Apr-22,4,15120,28800,9342,5400,6
