Dawon,SQ,screen_time,sleep_duration,steps,exercise,week
02-Mar-22,1,33460,24480,9650,4500,3
03-Mar-22,2,29380,20100,12607,3780,4
04-Mar-22,1,28880,23100,2290,0,5
05-Mar-22,1,30660,20100,9510,4800,6
06-Mar-22,5,20490,32340,728,0,7
07-Mar-22,2,28830,21960,10664,3840,1
08-Mar-22,2,28890,22860,15390,6240,2
09-Mar-22,2,33690,22680,10974,3360,3
10-Mar-22,2,30060,21660,14728,5100,4
11-Mar-22,4,24060,27000,1116,60,5
12-Mar-22,3,29580,22620,10616,540,6
13-Mar-22,5,16620,26940,255,0,7
14-Mar-22,4,24900,21060,11509,3780,1
15-Mar-22,2,30780,21900,12140,4260,2
16-Mar-22,1,33000,21540,12955,4860,3
17-Mar-22,3,28020,21900,13013,3840,4
18-Mar-22,1,38520,21360,6889,3240,5
19-Mar-22,2,32820,24300,6318,1080,6
20-Mar-22,5,21300,32400,1510,60,7
21-Mar-22,5,26820,22380,11228,2940,1
22-Mar-22,5,29520,21300,17623,5220,2
23-Mar-22,3,32100,22140,14432,4980,3
24-Mar-22,1,29880,18900,15341,4920,4
25-Mar-22,2,26280,21240,6741,900,5
26-Mar-22,3,24300,20640,9049,3540,6
27-Mar-22,5,19680,28800,495,0,7
28-Mar-22,3,30840,26520,12737,3180,1
29-Mar-22,1,28260,21840,13938,3480,2
30-Mar-22,1,35280,27900,5447,360,3
31-Mar-22,2,30240,21660,10018,3060,4
01-Apr-22,4,21840,21360,7377,1080,5
02-Apr-22,1,34860,18540,5829,1380,6
