Hyojun,SQ(y),Daily usage,Sleep duration,Steps,Exercise Duration,요일
2/3/2022,4,19980,27000,4595,3600,3
3/3/2022,5,16260,27000,5660,3600,4
4/3/2022,2,29340,25200,6612,3600,5
5/3/2022,3,23160,21600,6595,3600,6
6/3/2022,5,16320,25200,7309,3600,7
7/3/2022,2,25620,28800,3036,3600,1
8/3/2022,5,19980,25200,6105,3600,2
9/3/2022,4,20100,25200,3479,3600,3
10/3/2022,3,21840,25200,9825,3600,4
11/3/2022,1,30960,25200,9733,3600,5
12/3/2022,3,21180,28800,6585,3600,6
13/3/2022,4,17340,28800,51,0,7
14/3/2022,4,19020,32400,2876,3600,1
15/3/2022,3,21720,25200,40,0,2
16/3/2022,3,19980,28800,1216,3600,3
17/3/2022,4,16260,28800,0,0,4
18/3/2022,2,29340,21600,749,5400,5
19/3/2022,3,23160,36000,1770,3600,6
20/3/2022,5,16320,28800,640,5400,7
21/3/2022,2,25620,32400,1353,3600,1
22/3/2022,5,19980,25200,1039,3600,2
23/3/2022,3,20100,21600,312,0,3
24/3/2022,3,21840,18000,37,0,4
25/3/2022,2,30960,25200,881,3600,5
26/3/2022,2,21180,25200,12227,5400,6
27/3/2022,3,22740,25200,9187,3600,7
28/3/2022,2,19560,28800,3956,3600,1
29/3/2022,4,26100,32400,97,0,2
30/3/2022,1,21300,25200,88,0,3
31/3/2022,2,17760,28800,53,0,4
1/4/2022,3,18960,28800,1053,0,5
2/4/2022,2,20520,28800,2240,5400,6
